State,Country
GA,Georgia
CA,California
TX,Texas
IL,Illinois
PA,Pennsylvania
FL,Florida
MI,Michigan
RI,Rhode Island
NY,New York
MD,Maryland
WI,Wisconsin
NV,Nevada
UT,Utah
WA,Washington
NH,New Hampshire
HI,Hawaii
MA,Massachusetts
OK,Oklahoma
NJ,New Jersey
OH,Ohio
AZ,Arizona
CT,Connecticut
MN,Minnesota
CO,Colorado
TN,Tennessee
VA,Virginia
MO,Missouri
DE,Delaware
NM,New Mexico
LA,Louisiana
AR,Arkansas
KY,Kentucky
NC,North Carolina
SC,South Carolina
WV,West Virginia
KS,Kansas
WY,Wyoming
OR,Oregon
AL,Alabama
VT,Vermont
MS,Mississippi
DC,District of Columbia
MT,Montana
SD,South Dakota
AK,Alaska
IN,Indiana
ME,Maine
ID,Idaho
NE,Nebraska
IA,Iowa
